Code,Show Name,Location,Scene
/title/tt0065462/,Terugkeer naar de apenplaneet,"Red Rock Canyon State Park - Highway 14, Cantil, California, USA",
/title/tt0065462/,Terugkeer naar de apenplaneet,"Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA",(ape city)                        
/title/tt0089222/,Gotcha!,"Zitadelle, Spandau, Berlin, Germany",
/title/tt0089222/,Gotcha!,"Paris, France",
/title/tt0089222/,Gotcha!,"West Berlin, Berlin, Germany",
/title/tt7826034/,Resident Evil 2,"Madison, Wisconsin, USA",
/title/tt3672742/,Turbo Kid,"Thetford Mines, Québec, Canada",
/title/tt0089348/,Invasion U.S.A.,"Fort Lauderdale, Florida, USA",
/title/tt0089348/,Invasion U.S.A.,"Miami, Florida, USA",
/title/tt0089348/,Invasion U.S.A.,"Avondale Mall - Columbia and Memorial Drives, Avondale Estates, Georgia, USA",
/title/tt0089348/,Invasion U.S.A.,"Georgia Pacific Building in Atlanta, Georgia, USA",(Battle at the movie's end)                        
/title/tt4400994/,The Ballad of Lefty Brown,"Bannack, Montana, USA",
/title/tt4400994/,The Ballad of Lefty Brown,"Ennis, Montana, USA",
/title/tt4400994/,The Ballad of Lefty Brown,"Virgina City, Montana, USA",
/title/tt4400994/,The Ballad of Lefty Brown,USA,
/title/tt0108238/,Striking Distance,"Point State Park, Pittsburgh, Pennsylvania, USA",
/title/tt0108238/,Striking Distance,"Mount Washington, Pittsburgh, Pennsylvania, USA",(early car chase scene)                        
/title/tt0108238/,Striking Distance,"Monongahela, Pennsylvania, USA",
/title/tt0108238/,Striking Distance,"Allegheny County Courthouse, Pittsburgh, Pennsylvania, USA",(interiors)                        
/title/tt4917224/,9/11,"Thunder Studios, Long Beach, California, USA",(studio)                        
/title/tt0367631/,D.E.B.S.,"Belmont Tunnel - 1304 West 2nd Street, Los Angeles, California, USA",
/title/tt0367631/,D.E.B.S.,"Los Angeles, California, USA",
/title/tt3774802/,Pandemic,"Los Angeles, California, USA",
/title/tt9541602/,Geukhanjikeob,"Seoul, South Korea",
/title/tt1542768/,True Memoirs of an International Assassin,Dominican Republic,
/title/tt1542768/,True Memoirs of an International Assassin,"New York City, New York, USA",(location)                        
/title/tt0416044/,Mongol,Kazakhstan,
/title/tt0416044/,Mongol,China,
/title/tt0233142/,3000 Miles to Graceland,"Richmond, British Columbia, Canada",(Diner scene)                        
/title/tt0233142/,3000 Miles to Graceland,"El Dorado Canyon, Nevada, USA",
/title/tt0233142/,3000 Miles to Graceland,"Architectual Antiques - 2403 Main Street, Vancouver, British Columbia, Canada",
/title/tt0233142/,3000 Miles to Graceland,"Nelson's Landing, Nevada, USA",
/title/tt0233142/,3000 Miles to Graceland,"Memphis, Tennessee, USA",
/title/tt1024943/,Om Shanti Om,"Film City, Goregaon, Mumbai, Maharashtra, India",
/title/tt1024943/,Om Shanti Om,"Yash Raj Studios, Mumbai, Maharashtra, India",
/title/tt0991178/,Battlestar Galactica: Razor,"Vancouver Film Studios, Vancouver, British Columbia, Canada",(studio)                        
/title/tt1655461/,Wild Oats,"Gran Canaria, Canary Islands, Spain",
/title/tt1655461/,Wild Oats,"Ponchatoula, Louisiana, USA",
/title/tt1655461/,Wild Oats,"Monte Lentiscal,Gran Canaria, Canary Islands, Spain",(Winery)                        
/title/tt1655461/,Wild Oats,"Gabinete Literario,Las Palmas de Gran Canaria,Gran Canaria, Canary Islands, Spain",(Casino)                        
/title/tt1655461/,Wild Oats,"St. John Memorial Gardens, LaPlace, Louisiana, USA",(Cemetery scene)                        
/title/tt0412915/,The Librarian: Quest for the Spear,"Churubusco Studios, Mexico City, Distrito Federal, Mexico",
/title/tt0412915/,The Librarian: Quest for the Spear,"Mexico City, Distrito Federal, Mexico",
/title/tt0138797/,King Cobra,"Fillmore, California, USA",
/title/tt0072560/,S.W.A.T.,"Los Angeles Police Department, Hollywood Station - 1358 Wilcox Ave, Los Angeles, California, USA",(exterior: Police Station Div. 6)                        
/title/tt0169516/,Young Hercules,"Auckland, New Zealand",
/title/tt0169516/,Young Hercules,"Los Angeles, California, USA",
/title/tt0071216/,Big Bad Mama,"Main & Old Town Front Street, Temecula, California, USA",(bank robbery)                        
/title/tt0071216/,Big Bad Mama,"Elsinore, California, USA",
/title/tt0071216/,Big Bad Mama,"Pasadena, California, USA",
/title/tt0071216/,Big Bad Mama,"Palos Verdes, California, USA",
/title/tt0071216/,Big Bad Mama,"San Fernando Valley, Los Angeles, California, USA",
/title/tt7656570/,Legal Action,"Toccoa, Georgia","(Stephens County Courthouse 70 N Alexander St, Toccoa, GA 30577)                        "
/title/tt3491962/,Outlaws and Angels,"Santa Fe, New Mexico, USA",
/title/tt4479380/,SAS: Red Notice,Hungary,
/title/tt0111964/,Flipper,"Gold Coast, Queensland, Australia",
/title/tt0111964/,Flipper,"Village Roadshow Studios, Oxenford, Queensland, Australia",
/title/tt0099141/,Bird on a Wire,"British Columbia, Canada",
/title/tt0099141/,Bird on a Wire,"Detroit, Michigan, USA",
/title/tt0099141/,Bird on a Wire,"Maple Ridge, British Columbia, Canada",
/title/tt0099141/,Bird on a Wire,"Four Seasons Hotel, Vancouver, British Columbia, Canada",(Hotel Location)                        
/title/tt0099141/,Bird on a Wire,"3rd Street, New Westminster, British Columbia, Canada",
/title/tt0099141/,Bird on a Wire,"Langley, British Columbia, Canada",
/title/tt1179025/,Les aventures extraordinaires d'Adèle Blanc-Sec,"Cairo, Egypt",
/title/tt1179025/,Les aventures extraordinaires d'Adèle Blanc-Sec,"Madeleine Métro de Paris Station, Paris 8, Paris, France",
/title/tt1179025/,Les aventures extraordinaires d'Adèle Blanc-Sec,"Place de la Concorde, Paris 8, Paris, France",
/title/tt1179025/,Les aventures extraordinaires d'Adèle Blanc-Sec,"Rue de Rivoli, Paris 1, Paris, France",
/title/tt1179025/,Les aventures extraordinaires d'Adèle Blanc-Sec,"Mortagne-au-Perche, Orne, France",
/title/tt3722614/,Revolt,South Africa,
/title/tt0192614/,The Skulls,"Henley Island, St. Catharines, Ontario, Canada",
/title/tt0192614/,The Skulls,"University of Toronto, Toronto, Ontario, Canada",
/title/tt0192614/,The Skulls,"Casa Loma, Toronto, Ontario, Canada",
/title/tt0192614/,The Skulls,"Guildwood park, Toronto, Ontario, Canada",(Final/Duelling scene)                        
/title/tt0192614/,The Skulls,"Osgoode Hall, Toronto, Ontario, Canada",
/title/tt0113326/,Rumble in the Bronx,"Vancouver, British Columbia, Canada",
/title/tt0093731/,Phoenix the Warrior,"San Bernardino Mountains, California, USA",
/title/tt0093731/,Phoenix the Warrior,"Riverside, California, USA",
/title/tt4618398/,Boruto: Naruto the Movie,"Chicago Illinois, USA",(beach scenes)                        
/title/tt0119013/,Double Team,"Arles, Bouches-du-Rhône, France",
/title/tt0119013/,Double Team,"Rome, Lazio, Italy",
/title/tt0092585/,Assassination,"Los Angeles, California, USA",
/title/tt0473444/,Curse of the Golden Flower,"Three Natural Bridges, Wulong, Chongqing, China",(remote palace)                        
Code,Show Name,Location,Scene
/title/tt0085276/,Breathless,"11070 Strathmore Dr., Los Angeles, California, USA",(Monica's apartment)                        
/title/tt0085276/,Breathless,"Las Vegas, Nevada, USA",
/title/tt0085276/,Breathless,"Murphy Sculpture Garden - 10899 Wilshire Boulevard, UCLA, Westwood, Los Angeles, California, USA",
/title/tt0085276/,Breathless,"Palos Verdes Peninsula, California, USA",
/title/tt0085276/,Breathless,"Speedway, Venice, Los Angeles, California, USA",(Murals)                        
/title/tt0085276/,Breathless,"University of California, Berkeley, California, USA",
/title/tt0085276/,Breathless,"Venice Beach, Venice, Los Angeles, California, USA",
/title/tt0085276/,Breathless,"Westin Bonaventure Hotel & Suites - 404 S. Figueroa Street, Downtown, Los Angeles, California, USA",(Hotel)                        
/title/tt0085276/,Breathless,"Westwood, Los Angeles, California, USA",
/title/tt0259685/,Tremors 3: Back to Perfection,"Santa Clarita, California, USA",
/title/tt2582498/,Sweet Virginia,"Hope, British Columbia, Canada",(Motel Location)                        
/title/tt2582498/,Sweet Virginia,"British Columbia, Canada",
/title/tt0367479/,After the Sunset,"Atlantis Hotel and Resort, Nassau, Paradise Island, Bahamas",
/title/tt0367479/,After the Sunset,"The Old Fort Bay Club, Nassau, New Providence Island, Bahamas",
/title/tt0367479/,After the Sunset,Bahamas,
/title/tt0367479/,After the Sunset,"Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA",(studio)                        
/title/tt0367479/,After the Sunset,USA,
/title/tt4915672/,7 Guardians of the Tomb,"Village Roadshow Studios, Oxenford, Queensland, Australia",
/title/tt1754264/,Never Back Down 2: The Beatdown,"Baton Rouge, Louisiana, USA",
