,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0069257/,,"Brooklyn, New York City, New York, USA",(Brooklyn Navy Yard),"Brooklyn, Kings County, New York, United States of America",40.6501038,-73.9495823
1,/title/tt0069257/,,"Manhattan, New York City, New York, USA",(downtown),"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
2,/title/tt0069257/,,"Laguardia Place 520, New York City, New York, USA",,"520, Laguardia Place, Greenwich Village, Manhattan Community Board 2, Manhattan, New York County, New York, 10012, United States of America",40.7283098,-73.9989287
3,/title/tt0069257/,,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
4,/title/tt0106915/,,"Las Vegas, Nevada, USA",,"Las Vegas, Clark County, Nevada, United States of America",36.1672559,-115.1485163
5,/title/tt0190419/,,"Kullu, Himachal Pradesh, India",,"Kullu, Himachal Pradesh, India",32.00186325,77.37899639741332
6,/title/tt0120847/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
7,/title/tt0120847/,,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",,,,
8,/title/tt1447500/,,Switzerland,,Schweiz/Suisse/Svizzera/Svizra,46.7985624,8.2319736
9,/title/tt1447500/,,"Rajasthan, India",,"Rajasthan, India",26.8105777,73.7684549
10,/title/tt1447500/,,"Rann of Kutch, Gujarat, India",,"Rann of Kutch, Kutch District, Gujarat, India",23.790559350000002,70.49681598808152
11,/title/tt2257816/,,"Langley, British Columbia, Canada",,"Township of Langley, Metro Vancouver Regional District, British Columbia, Canada",49.106471850000005,-122.5501311568147
12,/title/tt0073396/,,"Calabasas, California, USA",,"Calabasas, Los Angeles County, California, United States of America",34.1446643,-118.6440973
13,/title/tt0073396/,,"Marina del Rey, California, USA",,"Marina del Rey, Los Angeles County, California, 90292, United States of America",33.9776848,-118.4486479
14,/title/tt4815716/,,"Gothenburg, Västra Götalands län, Sweden",,"Göteborg, Göteborgs Stad, Västra Götalands län, Götaland, 41106, Sverige",57.7072326,11.9670171
15,/title/tt0116106/,,"Dinosaur Valley State Park - U.S. Highway 67, Glen Rose, Texas, USA",(Scenes in the Dinosaur Valley.),,,
16,/title/tt2836208/,,"Bangkok, Thailand",,"กรุงเทพมหานคร, เขตพระนคร, กรุงเทพมหานคร, 10200, ประเทศไทย",13.7542529,100.493087
17,/title/tt0944834/,,Germany,,Deutschland,51.0834196,10.4234469
