sconst,sLabel,lconst
s3,location,l11721
s4,interiors: Ghostbusters headquarters,l6090
s8,interiors,l11664
s9,beach scenes,l4195
s10,on location,l2187
s11,Lake scenery,l5410
s12,Dubois house exterior,l17091
s13,the apartments,l17270
s14,car goes off bridge,l544
s19,baseball field,l5481
